id,class_id,year,title,doi,pdf_present,pdf_path,t1,t2,t3,r1,r2,r3,r4,r5,r6,relevance_score,full_text_decision,exclusion_code,notes
P0213,C2,2026,Optimization and Acceleration of Visual-Inertial Navigation System for UAVs Based on Heterogeneous Computing Architecture,10.1007/978-981-95-4053-2_48,False,,Y,Y,Y,1,1,1,0,1,0,4,INCLUDE,,GPU/HW accelerated VINS-Mono + adaptive feature selection + OF init; UAV platform; LNEE 2026. NOTE: potential C4.
P0181,C6,2026,A robust fault-tolerant control algorithm for GPS-denied mini quadrotors using PID-TinyMPC and visual-inertial odometry,10.1016/j.conengprac.2026.106779,True,papers/P0181.pdf,N,Y,Y,1,0,1,0,0,1,3,EXCLUDE,T1,"PID-TinyMPC fault-tolerant controller; VIO (IMU+baro+camera) is state estimation input, not the contribution."
P0034,C2,2025,A Visual-Inertial Localization Method Based on Motion Feature Constraints,10.1007/978-981-96-2204-7_7,False,,Y,Y,?,1,1,0,0,0,0,2,INCLUDE,,ZUPT factor + motion constraints to handle hover/dynamic objects in VIO; LNEE conf; results expected.
P0037,C2,2025,Adaptive Covariance and Quaternion-Focused Hybrid Error-State EKF/UKF for Visual-Inertial Odometry,10.1007/s44196-025-00942-0,True,papers/P0037.pdf,Y,Y,Y,1,1,0,1,1,0,4,INCLUDE,,"Hybrid ESKF/UKF; adaptive sensor confidence score (entropy, blur); EuRoC MAV; 49% position improvement. CORE: adaptive covariance."
P0071,C6,2025,Resilient Navigation for UAVs: GNSS Attack Detection and Seamless Transition to Visual-Inertial Localization,10.1109/indicon68490.2025.11392970,True,papers/P0071.pdf,N,N,N,1,1,0,1,0,1,4,EXCLUDE,T1,"GNSS attack detection; VIO is fallback system used unmodified — no VIO algorithmic contribution. EXCLUDE (T1; also fails T2 and T3). T-1 fails: 'The core contribution of this work is the ""Regenerative"" framework - a self-healing decision logic designed to maintain operational continuity during sensor loss' (p.2), i.e. a GNSS spoofing/jamming detection"
P0298,C2,2025,Real-time motion state estimation of feature points based on optical flow field for robust monocular visual-inertial odometry in dynamic scenes,10.1016/j.eswa.2025.126813,True,papers/P0298.pdf,Y,Y,Y,1,1,1,0,1,0,4,INCLUDE,,Adaptive feature-quality/robust-weighting contribution to VIO (C2 core). Aerial validation via VIODE quadcopter and EuRoC MAV plus embedded real-time. No auxiliary sensor beyond cam+IMU; not EKF (optimization-based).
P0084,C2,2025,A Comparative Analysis of Hybrid Sensor Fusion Schemes for Visual-Inertial Navigation,10.1109/tim.2025.3555758,True,papers/P0084.pdf,Y,Y,Y,1,1,0,1,0,0,3,INCLUDE,,Hybrid GRU+ESKF comparative analysis; systematically quantified; IEEE TIM 2025. INCLUDE. the text supports every filter on the first clause. T-1: 'A novel hybrid VIO architecture is proposed based on ESKF and GRU-based error correction mechanisms. To the best of the authors' knowledge
P0101,C2,2025,Adaptive Covariance Matrix for UAV-Based Visual–Inertial Navigation Systems Using Gaussian Formulas,10.3390/s25154745,True,papers/P0101.pdf,Y,Y,Y,1,1,1,0,1,0,4,INCLUDE,,Textbook CORE adaptive-covariance (C2) paper for GNSS-denied UAV VINS. Built on optimization (VINS-Mono) so r4=0; cam+IMU only so r6=0.
P0335,C2,2025,Resilient Vision-Inertial Fusion Algorithm Based on the Depth of Feature Point,10.1109/jsen.2024.3487243,True,papers/P0335.pdf,Y,Y,Y,0,1,0,0,1,0,2,INCLUDE,,"Depth-of-feature adaptive noise weighting in VSLAM; UAVs; IEEE Sensors 2025. INCLUDE. T1: 'we propose a resilient visual inertial odometry (VIO) algorithm with an adaptive adjustment of fusion weights' (p.1); resilient coefficient function psi(d)=3.0/depth^2 rescales the visual covariance inside the VINS-Fusion sliding-window optimisation (eq. 15, p.6). T2: 'The EuRoC dataset was col"
P0337,C2,2025,Fusion of Optical Flow and Dead Reckoning Algorithms for UAV Navigation Without GPS,10.12716/1001.19.04.02,True,papers/P0337.pdf,Y,Y,Y,1,0,0,0,1,1,3,INCLUDE,,Optical flow + dead reckoning fusion for GPS-denied UAV; EKF-like framework; real flight; TransNav 2025. R6 re-derived from the recoded aux_sensors column: 1.
P0364,C2,2025,Kalman Filter-Based Drift Detection and Mitigation of Visual-Inertial Odometry in UAVs,10.23919/acc63710.2025.11107817,True,papers/P0364.pdf,N,Y,N,1,0,0,1,0,0,2,EXCLUDE,T1,Conceptual framework for KF-based VIO drift detection/safety; no quantitative evaluation vs baseline; ACC 2025. EXCLUDE T1. T1: VIO is used unmodified: 'State estimation of the vehicle relies on the VIO-based estimator OpenVINS framework' (p.5).
P0147,C2,2025,Online Dynamic Model Calibration for Reliable Control of Quadrotor Based on Factor Graph Optimization,10.1109/taes.2025.3566347,True,papers/P0147.pdf,N,Y,Y,0,1,1,0,0,0,2,EXCLUDE,T1,"Online dynamic model calibration (CG, drag, HVT) via factor graph + VIO; quadrotor; IEEE TAES 2025."
