reference_id,authors_year,year,venue,doi,country_institution,class_id,relevance_score,qa_total,vio_architecture,fusion_method,visual_frontend,features_representation,imu_preintegration,adaptive_online,uav_platform,benchmark_dataset,evaluation_metrics,challenging_conditions,key_contribution,limitations_stated,relevant_rqs,reviewer_notes,aux_sensors,aux_measurement_models,aux_fusion_weight,aux_evidence,height_channel,height_channel_weighting,frontend_type,point_features,frontend_evidence,per_keypoint_quality_scoring,quality_scoring_evidence,limitation_codes,limitation_evidence,recode_notes
P0018,Cioffi et al. (2020),2020,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros45743.2020.9341697,"University of Zürich and ETH Zürich, Switzerland",C1,2,4.0,Tightly coupled / Optimisation-based,Sliding window,Monocular,Not stated,Yes,No / Not stated,Hexarotor,EuRoC dataset; Outdoor dataset from [4],ATE; Relative translation error; Relative rotation error; Position error,GNSS-denied,"This is the first work where global positional measurements are tightly fused in an optimization-based visual-inertial odometry algorithm, leveraging the IMU preintegration method to define the global positional factors.",-,RQ2,,GNSS/GPS/RTK/SBAS,absolute 3-D position,fixed,"Sec. III-B, Eq. 6/10: global position measurement noise np ~ N(0, sigma_p^2 I); GPS at 5 Hz in outdoor flights",no,n/a,semi-direct,yes,"""As a vision front-end, we used the one of SVO [20]. The vision front-end deals with feature detection and tracking""",no,n/a,none stated,n/a,"Residual weight W_g (Eq. 10) combines the fixed GPS variance sigma_p^2 with the IMU preintegration covariance (varies with IMU noise, not with GPS quality), so coded fixed. On EuRoC the motion-capture ground truth corrupted with 20 cm Gaussian noise substitutes for GPS. GPS 3-D fix contains altitude but there is no dedicated height channel. Leica total station used only for ground truth."
P0021,Moeini et al. (2023),2023,International Journal of Dynamics and Control,10.1007/s40435-023-01357-5,"University of Alberta, Canada",C6,2,4.5,Tightly coupled / Optimisation-based,Sliding window,Monocular,KLT,Yes,No,Quadrotor,BlackBird Dataset,ATE,GNSS-denied,The main contribution of our work is a tightly-coupled VIAO which incorporates rotor drag and can estimate constant force disturbances. To achieve this we introduce a residual term based on a disturbance observer.,Future work consists of validating the proposed method in flight tests which include external forces such as wind gusts.,RQ5,,other (rotor thrust / actuator data from ESC motor speeds),other (multirotor dynamics with rotor drag: thrust-driven position/velocity propagation plus disturbance-observer residual),fixed,"Sec. 4/5: measured thrust T_b = T_b + eta_T Gaussian white noise; std 0.01 N/kg (z), 0.005 N/kg (x,y)",no,n/a,optical-flow-tracked corners,yes,"""new features are detected and existing features are tracked by a feature tracking algorithm (Kanade-Lucas-Tomasi (KLT) sparse optical flow in [9])""",no,n/a,none stated,n/a,"Built on VIMO/VINS-Mono; evaluated only on the Blackbird dataset (rendered images, left camera, thrust from commanded rotor speeds). Stated drawbacks concern the dataset (no real external forces; commanded vs actual rotor speeds), not the estimator; future work is flight tests with wind gusts. Monocular scale is discussed in the introduction as motivation only."
P0023,Zhu et al. (2020),2020,IFAC-PapersOnLine,10.1016/j.ifacol.2020.12.2412,"Technische Universität Dresden, Germany",C4,2,4.5,Tightly coupled / Optimisation-based,Bundle adjustment / Sliding window,Stereo,Shi-Tomasi Corner / KLT,Yes,No,UAV (type unspecified),EuRoC MAV,Relative Pose Error; Absolute Trajectory Error; CPU usage,GNSS-denied,We propose a stereo visual-inertial fusion system based on the framework of VINS-Mono: We redesign its image processing system front-end which supports stereo camera while taking advantage of inertial measurements. We introduce a stereo visual residual term into the local bundle adjustment problem.,"In the future, the system will be integrated into the UAV control loop. Hardware acceleration for image processing could be investigated as well. Furthermore, line features are to be included to enhance the robustness in challenging scenarios.",RQ4,,none,n/a,n/a,Eq. 18: marginalization prior + IMU residual + stereo visual residual only; EuRoC stereo + IMU,no,n/a,optical-flow-tracked corners,yes,Sec. 2.1: 'features in left images are detected using the Shi-Tomasi Corner detector ... KLT algorithm is then applied to refine the position of each feature',no,n/a,L1,"at this high update rate, we observed occasionally a relative large lag in system back-end due to the high CPU load, which, on the other hand, degrades the system stability",Feature detection rate limited to 10 Hz to bound CPU load on an Intel NUC. Future work mentions adding line features 'to enhance the robustness in challenging scenarios' (unspecified; not coded as L2). Outlier rejection: epipolar-distance threshold and fundamental-matrix RANSAC; Cauchy loss in BA. IMU rotation used to predict feature positions before KLT.
P0027,Hong et al. (2018),2018,Sensors (Switzerland),10.3390/s18124287,"Hanyang University, Korea",C2,1,4.5,Tightly coupled / Optimisation-based,Gauss–Newton algorithm / IMU pre-integration,Monocular,KLT,Yes,Yes - Adaptive bootstrapping using variance-based metrics for scale and gravity estimation,UAV (type unspecified),EuRoC,RMSE,GNSS-denied; Dynamic illumination changes; Fast motions,We propose a novel visual-inertial odometry algorithm using non-linear optimization of tightly-coupled visual and pre-integrated IMU observations with a local scale variable. A robust online initialization algorithm for the metric scale and gravity directions is introduced.,"The problem of state estimation of UAVs is a challenging research topic due to its dynamic motion and interaction with the unknown environment. Therefore, we are interested in further extending the algorithm with additional sensors for stable operation in the real world.",RQ3,,none,n/a,n/a,Abstract: fusion of visual information and pre-integrated inertial measurements in a joint optimization framework; EuRoC left camera + IMU only (Sect. 6),no,n/a,optical-flow-tracked corners,yes,Sect. 3: We use the Kanade-Lucas-Tomasi (KLT) feature tracker [20] to find the feature point correspondences,no,"n/a (Huber norm on reprojection error, Eq. 2; per-feature information matrix not described as adaptive)",none stated,n/a,"Conclusion future work: extending the algorithm with additional sensors for stable operation in the real world, and dense map reconstruction; no explicit limitation matching L1-L5. Local scale parameter and bootstrapping address monocular scale but are presented as contributions, not limitations. Leica/Vicon ground truth. Runs on an i7 laptop without GPU."
P0037,Asil et al. (2025),2025,International Journal of Computational Intelligence Systems,10.1007/s44196-025-00942-0,Not stated,C2,4,4.5,Loosely coupled / Filter-based,EKF / UKF,Stereo,ALIKED / LightGlue,Not stated,"Yes - dynamically assesses sensor reliability using metrics like image entropy, intensity variation, motion blur, and inference quality",UAV (type unspecified),EuRoC MAV,ATE; RMSE; processing time,GNSS-denied; Low-light; High-speed motion,"An innovative hybrid VIO method using a Quaternion-focused Error-State EKF/UKF architecture that dynamically assesses sensor reliability. The system improves position accuracy by 49% and rotation accuracy by 57% over ESKF-based methods, with 48% lower computational cost than a full SUKF implementation.",-,RQ3,,none,n/a,n/a,"Sect. 3.4: three update modules only: ZUPT, gravity alignment, visual position-velocity update; stereo camera + IMU (EuRoC)",no,n/a,descriptor point features,yes,Sect. 3.6: extracts features from stereo image pairs using ALIKED; matching with LightGlue; SGBM depth; PnP + local BA,frame-level,"Algorithm 1: reliability score from Shannon entropy, Laplacian blur, pose-optimization chi2 error, culled keyframes adapts R_VIS per frame",L2,"The approach for motion blur analysis, based on the variance of the Laplacian operator, was less effective than anticipated (Sect. 5)","Future work lists LiDAR, GPS and 5G as candidate sensors; none fused here. Future work also targets computational efficiency for real-time use but names no embedded hardware (L1 not coded). ZUPT and gravity-alignment updates are IMU-derived pseudo-measurements. Adaptive covariance applies to the visual channel only. descriptor_distance_sigma is monitored but not used to weight individual points."
P0067,Li et al. (2015),2015,"ICCAS 2015 - 2015 15th International Conference on Control, Automation and Systems, Proceedings",10.1109/iccas.2015.7364912,"The University of New South Wales, Australia",C2,4,3.0,Tightly coupled,EKF,Monocular,Optical flow,No,No,Quadrotor,Vicon system,Height estimation error; Horizontal velocity estimation error,GNSS-denied; Illumination variation; Large motion,A simple yet robust visual inertial fusion algorithm is proposed for state estimation and control of a low-cost quadrotor. The designed optic flow algorithm is able to deal with large motion and illumination change.,"Textureless environments indoors and severe weather conditions outdoors pose a challenge to our approach when using low-fidelity sensors. For higher accuracy in the state estimation, a larger excitation is required.",RQ3,,none,n/a,n/a,"Sec. 6: ""Of particular interest to this work is its IMU and the downward-looking camera""; per-axis EKFs fuse OF-derived unscaled velocity with accelerometer only",no,n/a,optical-flow-tracked corners; direct / photometric,not stated,"""A binary template matching algorithm is combined with a gradient based algorithm to compute optic flow""; ""binary image based TM for a few templates of size 24 x 24 pixels"" initializing pyramidal LK on the binarized image",frame-level,"Eq. 6: ""a confidence measure is introduced to detect false estimation ... If conf exceeds a pre-determined threshold (100), the estimation is rejected""",L2; L3,"""textureless environments indoors and severe weather conditions outdoors pose a challenge to our approach when using low-fidelity sensors"" | ""The height estimation of the VIF method drifts slowly over time""","AR.Drone 2.0 carries a sonar altimeter, air-pressure altimeter and magnetic compass, but only the IMU and downward camera are used (sonar is used only by the proprietary on-board software that is compared against). Height is estimated from OF + accelerometer under a ground-plane assumption, not from a height sensor. No corner detector is described (LK on binarized images at unspecified points), so point_features coded not stated. Vicon for ground truth only. Off-board processing."
P0089,Unknown et al. (2018),2018,AUTONOMOUS ROBOTS,10.1007/s10514-017-9690-5,"Institut de Robòtica i Informàtica Industrial, CSIC-UPC, Spain",C4,5,4.5,Loosely coupled / Filter-based,"EKF, ESKF",Optical flow,Optical flow,No,No,Quadrotor,Not stated,RMSE; Orientation error metric; ANEES,GNSS-denied,"We propose a simple, low-cost and high rate method for state estimation enabling autonomous flight of micro aerial vehicles, which presents a low computational burden. The proposed state estimator fuses observations from an inertial measurement unit, an optical flow smart camera and a time-of-flight range sensor.","The x and y positions and the yaw angle are not observable, and their output is the result of an incremental estimation subject to drift.",RQ4,,laser altimeter or 1-D rangefinder (downward),range to ground (terrain-relative height),fixed,"Sec. 2.2.3: ""hr(xt, nr) = wpr(3)/wRr(3,3) + nr"" with ""nr ~ N{0, Nr}""; chi-square gating on the innovation",yes,fixed,consumed pose stream; direct / photometric,no,"""The smart camera computes the mean flow in a 64 x 64 pixels patch centered at the principal point""; PX4-Flow uses ""sum of absolute differences (SAD) block matching to compute the optical flow""",no,n/a,L2; L3,"""scene lighting must be adequate and the ground is required to have good visual texture"" | ""the x and y positions and yaw angle are not observable (i.e., the method is an odometer) and their output is ... subject to drift""","Range sensor is an infrared time-of-flight 1-D ranger (TeraRanger One), downward-facing, flat-ground assumption. The PX4-Flow's built-in ultrasonic ranger and gyro are explicitly discarded. The estimator has no image front-end; it consumes raw 2-D flow (not a pose) from the smart camera. L2 statement is from the sensor-model section (2.2.2), not the conclusion. Qualisys mocap for ground truth only."
P0099,Baldini et al. (2020),2020,Proceedings of the American Control Conference,10.23919/acc45564.2020.9147400,"California Institute of Technology, USA",C3,1,5.0,Learning-augmented,LSTM,Monocular,CNN-based feature extractor,Not stated,No / Not stated,UAV (type unspecified),EuRoC MAV; Airsim,RMSE; translation error; rotation error,GNSS-denied; Low-light; Dynamic objects,"We propose a robust end-to-end data-driven control system for UAV autonomous navigation and landing. Our method significantly outperforms the state-of-the-art for VIO methods, improving the accuracy of the estimation up to 25% against the baseline.","Supervised DNNs need lots of training data that samples all expected operating conditions in order to perform well. If the training data are not enough to cover all the expected situations, the network would no longer be able to perform an accurate localization.","RQ3, RQ2",,none,n/a,n/a,Sec. III: 'inputs to the network are synchronized measurements from the vision and inertial sensors' (ResNet18 image features + LSTM IMU features),no,n/a,learned end-to-end,no,"Sec. III.a: 'CNN-based feature extractor: To encode image features, we use the same structure of the ResNet18'",frame-level,Sec. V.B: 'we trained the network to use only IMU data as a new corrupted imaged shows up',L5,Sec. VI.a: 'A big challenge for supervised navigation algorithms is learning to estimate the position of the vehicle in dynamic environments',Frame-level code is tentative: corrupted-image handling is described in one sentence and the referenced Algorithm is missing from the text. Main stated limitation is need for training data covering all operating conditions (generalisation; not a listed code) and pose inconsistency between consecutive estimates. Vicon/AirSim ground truth only.
P0103,Zhang et al. (2020),2020,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2020.2989877,"Xi’an University of Science and Technology, China",C6,1,4.5,Tightly coupled / Optimisation-based,iSAM2 solver / Factor graph,Monocular,Direct/Photometric,Yes,No / Not stated,UAV (type unspecified),EuRoC,RMSE,GNSS-denied; High-speed motion,"We tightly couple image feature observations, IMU pre-integration measurements, and medium-term tracking errors to make the VIO system capable of local loop detection, thereby ensuring high-precision position estimation in the case of long-distance motion.",The main limitation of the current technology is the lack of long-range matching of image features on image sequences.,RQ5,,none,n/a,n/a,"Eq. 1: cost contains only image alignment factor, IMU factor and medium-term tracking factor",no,n/a,direct / photometric,no,"""we use the direct method to estimate the motion of the camera [17] ... directly use the gray information of the image pixels"" (Sec. IV-A)",no,n/a,none stated,n/a,"RTK GPS used only as ground truth in the outdoor flight. Front-end is DSO-style (photometric alignment with affine brightness a,b); '200 features were uniformly extracted from each image' refers to sparse pixel selection without descriptors, so point_features coded no. Medium-term tracking uses SiamMask segmentation masks and matched mask-contour point pairs (Eq. 15-16). Fisheye camera, Jetson TX2 onboard. No limitations stated in conclusion."
P0105,Yang et al. (2020),2020,"Chinese Control Conference, CCC",10.23919/ccc50068.2020.9188820,"Tianjin University, China",C2,6,3.0,Tightly coupled / Optimisation-based,EKF / Sliding window / Bundle adjustment,Stereo,Harris / FAST / ORB / SIFT / SURF / KLT / Optical flow,Yes,Yes - The system uses online optimization to correct roll and pitch angles using EKF and integrates height radar to prevent drift.,UAV (type unspecified),-,-,GNSS-denied,"We propose a drone state estimation algorithm based on nonlinear optimization in the VINS framework, correcting attitude residual and height cumulative drift using IMU and height radar.",-,RQ3,,radar altimeter,range to ground (terrain-relative height),hard switch,"""When |lerr| > lthre, the terrain may be considered to have a mutation. At this time, the height radar optimization is not used, but the terrain lter is estimated""",yes,hard switch,optical-flow-tracked corners,yes,"""the KLT sparse optical flow algorithm is used to track the corner points ... The extracted feature points are selected by Harris corner points""",no,n/a,none stated,n/a,"The height radar is described as a single-point ranging module (100 Hz) fixed under the IMU; its residual is added as a factor in the VINS-Fusion sliding-window optimization with a terrain estimator; the residual covariance is not stated (hard switch on terrain change, flat-ground assumption). An accelerometer-based EKF roll/pitch residual is also added, with accelerometer updates disabled when |a| deviates from g (IMU-internal, not an aux sensor). RANSAC fundamental-matrix outlier rejection. OptiTrack for ground truth only. Conclusion states no limitations."
