id,pdf_present,title,doi,year,source,authors,abstract,doc_type,db,_also_in,decision,confidence,triggered_criteria,reasoning,flag
P0446,False,Edge Computing for Visual Navigation and Mapping in a UAV Network,10.1109/icc40277.2020.9149087,2020,ICC 2020 - 2020 IEEE International Conference on Communications (ICC),M. A. Messous; H. Hellwagner; S. -M. Senouci; D. Emini; D. Schnieders,"This research work presents conceptual considerations and quantitative evaluations into how integrating computation offloading to edge computing servers would offer a paradigm shift for an effective deployment of autonomous drones. The specific mission that has been considered is collaborative autonomous navigation and mapping in a 3D environment of a small drone network. Specifically, in order to achieve this mission, each drone is required to compute a low latency, highly compute intensive task in a timely manner. The proposed model decides for each task, while considering the impact on performance and mission requirements, whether to (i) compute locally, (ii) offload to the edge server, or (iii) to the ground station. Extensive simulation work was performed to assess the effectiveness of the proposed scheme compared to other models.",IEEE Conferences,ieee,,EXCLUDE,high,EXC-7,"Computation offloading and edge computing architecture for UAV networks, treating navigation and mapping as downstream applications rather than contributing algorithmic advances to VIO itself.",
P0108,True,Visual Inertial Navigation for a Small UAV Using Sparse and Dense Optical Flow,10.1109/reduas47371.2019.8999672,2019,"2019 International Workshop on Research, Education and Development on Unmanned Aerial Systems, RED-UAS 2019",Fanin F.; Hong J.-H.,There has been a recent surge in interest regarding small Unmanned Aerial Vehicles (UAV) that operate in indoor environments. A crucial part of such platforms is the navigation system that allows them to navigate in Global Navigation Satellite System (GNSS) denied environments. The two objectives of this work were to develop an Optical Flow (OF) based method for navigation and a high-fidelity simulation for testing and verification. This paper presents the Visual-Inertial Navigation System (VINS) developed that utilises sparse and dense Optical Flow patterns within an Extended Kalman Filter (EKF) framework for autonomous navigation in GNSS denied environments. The principal novelty is the use of dense Optical Flow measurements to estimate the velocity of the UAV. © 2019 IEEE.,Conference paper,scopus,ieee; wos,INCLUDE,high,INC-1|INC-2|INC-3|INC-6,"Paper presents a Visual-Inertial Navigation System (VINS) that fuses optical flow with inertial data using EKF (INC-1), explicitly targets small UAVs (INC-2), and addresses GNSS-denied environments (INC-6).",
P0216,True,Visual-Inertial Image-Odometry Network (VIIONet): A Gaussian process regression-based deep architecture proposal for UAV pose estimation,10.1016/j.measurement.2022.111030,2022,Measurement: Journal of the International Measurement Confederation,Aslan M.F.; Durdu A.; Sabanci K.,"This study estimates the pose of Unmanned Aerial Vehicle (UAV) through artificial intelligence-based approaches and combines visual-inertial information in a different way than previous studies. For an effective fusion, the inertial data between both frames is normalized after denoising with the Savitzky-Golay technique and finally converted from numerical value to image. To strengthen these inertial image features with the change of motion between two frames, frames of Optical Flow (OF) are obtained and OF frames are combined with inertial images. Simultaneously, a parallel thread combines this OF frame with two consecutive raw frames. After features are extracted from inertial and camera data via Inception-v3, these features are fused and actual UAV poses are estimated via Gaussian Process Regression (GPR). Thanks to the smoothing process applied to these estimated values, a more stable pose estimation is provided. This proposed method is applied to the EuRoC dataset and our dataset produced in the Gazebo environment. The pose estimation results reveal that the proposed method has high performance compared to many previous studies. © 2022 Elsevier Ltd",Article,scopus,wos,INCLUDE,high,INC-1|INC-2|INC-3|INC-5|INC-6,"Abstract clearly describes a VIO system that fuses visual and inertial data (INC-1) for UAV pose estimation (INC-2), addresses robustness through AI-based approaches and is tested on challenging datasets (INC-6).",
P0589,True,A Quadrotor Autonomous System for Warehouse Inspection: An Integrated Approach of Perception-Control-Planning,10.1109/peeec67807.2025.00048,2025,"2025 International Conference on Power, Electrical Engineering, Electronics and Control (PEEEC)",Q. Liao,"This paper presents a tightly integrated perception-control-planning framework for autonomous quadrotor-based warehouse inspection. The perception module utilizes a lightweight VIO-SLAM pipeline, enhanced with semantic mapping, UWB fusion, and structural priors, to ensure robust localization in long, low-feature aisles while supporting multimodal inventory identification through barcode/OCR detection and RFID-based fusion. The control module employs a cascaded architecture that combines geometric outer-loop trajectory tracking with high-rate inner-loop attitude stabilization, augmented with disturbance estimation and safety-aware projection to guarantee stability and maneuverability in narrow, cluttered environments. The planning module utilizes corridor-based topological graphs and ESDF maps, introducing region-constrained D-JPS for global coverage planning and dynamic-resolution DVR-VFH+ for local obstacle avoidance. Executable trajectories are generated as minimum-snap splines, with mission-level logic for viewpoint-aware scheduling and uncertainty management. The system was validated through simulations in a ROS + PX4-SITL + Gazebo environment. Compared to baseline methods, D-JPS reduced average path length by 9.4 %, node count by 42 %, and improved path smoothness by 17 %. DVR-VFH+ demonstrated greater stability in dynamic and constrained environments. The UAV maintained altitude deviations within $\pm 0.05 ~\mathrm{m}$ and a minimum obstacle clearance of $\geq 0.4 ~\mathrm{m}$, achieving a 100 % success rate on all configured missions. These results confirm the proposed framework enables accurate, efficient, and safe autonomous inspection in challenging GPS-denied warehouse environments, offering a transferable architecture for future real-world deployment.",IEEE Conferences,ieee,,INCLUDE,high,INC-1|INC-2|INC-6,"Article reports a VIO-SLAM pipeline for quadrotor perception (INC-1), explicitly targets quadrotor UAV platform (INC-2), and addresses GPS-denied warehouse environments with enhanced robustness features (INC-6).",
P0217,True,SIMSF: A Scale Insensitive Multi-Sensor Fusion Framework for Unmanned Aerial Vehicles Based on Graph Optimization,10.1109/access.2020.3000555,2020,IEEE Access,Dai B.; He Y.; Yang L.; Su Y.; Yue Y.; Xu W.,"Given the payload limitation of unmanned aerial vehicles (UAVs), lightweight sensors such as camera, inertial measurement unit (IMU), and GPS, are ideal onboard measurement devices. By fusing multiple sensors, accurate state estimations can be achieved. Robustness against sensor faults is also possible because of redundancy. However, scale estimation of visual systems (visual odometry or visual inertial odometry, VO/VIO) suffers from sensor noise and special-case movements such as uniform linear motion. Thus, in this paper, a scale insensitive multi-sensor fusion (SIMSF) framework based on graph optimization is proposed. This framework combines the local estimation of the VO/VIO and global sensors to infer the accurate global state estimation of UAVs in real time. A similarity transformation between the local frame of the VO/VIO and the global frame is estimated by optimizing the poses of the most recent UAV states. In particular, for VO, an initial scale is estimated by aligning the VO with the IMU and GPS measurements. Moreover, a fault detection method for VO/VIO is also proposed to enhance the robustness of the fusion framework. The proposed methods are tested on a UAV platform and evaluated in several challenging environments. A comparison between our results and the results from other state-of-the-art algorithms demonstrate the superior accuracy, robustness, and real-time performance of our system. Our work is also a general fusion framework, which can be extended to other platforms as well. © 2013 IEEE.",Article,scopus,ieee; wos,INCLUDE,high,INC-1|INC-2|INC-3|INC-6,"Article clearly presents a VIO system fusing camera and IMU data (INC-1) explicitly targeting UAVs (INC-2), addresses challenging environments and robustness (INC-6), and is published in IEEE Access (INC-3).",
P0453,False,"LIDAR-based Stabilization, Navigation and Localization for UAVs Operating in Dark Indoor Environments",10.1109/icuas51884.2021.9476837,2021,2021 International Conference on Unmanned Aircraft Systems (ICUAS),M. Petrlík; T. Krajník; M. Saska,"Autonomous operation of UAVs in a closed environment requires precise and reliable pose estimate that can stabilize the UAV without using external localization systems such as GNSS. In this work, we are concerned with estimating the pose from laser scans generated by an inexpensive and lightweight LIDAR. We propose a localization system for lightweight (under 200 g) LIDAR sensors with high reliability in arbitrary environments, where other methods fail. The general nature of the proposed method allows deployment in wide array of applications. Moreover, seamless transitioning between different kinds of environments is possible. The advantage of LIDAR localization is that it is robust to poor illumination, which is often challenging for camera-based solutions in dark indoor environments and in the case of the transition between indoor and outdoor environment. Our approach allows executing tasks in poorly-illuminated indoor locations such as historic buildings and warehouses, as well as in the tight outdoor environment, such as forest, where vision-based approaches fail due to large contrast of the scene, and where large well-equipped UAVs cannot be deployed due to the constrained space.",IEEE Conferences,ieee,,EXCLUDE,high,EXC-3,"Focuses exclusively on LIDAR-based localization without any mention of camera or inertial sensors, failing to meet INC-1 which requires VIO fusion of both visual and inertial data.",
P0212,False,Visual SLAM for Unmanned Aerial Vehicles: Localization and Perception,10.3390/s24102980,2024,SENSORS,,"Localization and perception play an important role as the basis of autonomous Unmanned Aerial Vehicle (UAV) applications, providing the internal state of movements and the external understanding of environments. Simultaneous Localization And Mapping (SLAM), one of the critical techniques for localization and perception, is facing technical upgrading, due to the development of embedded hardware, multi-sensor technology, and artificial intelligence. This survey aims at the development of visual SLAM and the basis of UAV applications. The solutions to critical problems for visual SLAM are shown by reviewing state-of-the-art and newly presented algorithms, providing the research progression and direction in three essential aspects: real-time performance, texture-less environments, and dynamic environments. Visual-inertial fusion and learning-based enhancement are discussed for UAV localization and perception to illustrate their role in UAV applications. Subsequently, the trend of UAV localization and perception is shown. The algorithm components, camera configuration, and data processing methods are also introduced to give comprehensive preliminaries. In this paper, we provide coverage of visual SLAM and its related technologies over the past decade, with a specific focus on their applications in autonomous UAV applications. We summarize the current research, reveal potential problems, and outline future trends from academic and engineering perspectives.",Review,wos,,EXCLUDE,high,EXC-4,"Explicitly identifies this as a 'survey' that reviews state-of-the-art algorithms and provides coverage over the past decade, which clearly matches EXC-4 (secondary study).",
P0338,True,DeepUKF-VIN: Adaptively-tuned Deep Unscented Kalman Filter for 3D Visual-Inertial Navigation based on IMU-Vision-Net,10.1016/j.eswa.2025.126656,2025,Expert Systems with Applications,Ghanizadegan K.; Hashim H.A.,"This paper addresses the challenge of estimating the orientation, position, and velocity of a vehicle operating in three-dimensional (3D) space with six degrees of freedom (6-DoF). A Deep Learning-based Adaptation Mechanism (DLAM) is proposed to adaptively tune the noise covariance matrices of Kalman-type filters for the Visual-Inertial Navigation (VIN) problem, leveraging IMU-Vision-Net. Subsequently, an adaptively tuned Deep Learning Unscented Kalman Filter for 3D VIN (DeepUKF-VIN) is introduced to utilize the proposed DLAM, thereby robustly estimating key navigation components, including orientation, position, and linear velocity. The proposed DeepUKF-VIN integrates data from onboard sensors, specifically an inertial measurement unit (IMU) and visual feature points extracted from a camera, and is applicable for GPS-denied navigation. Its quaternion-based design effectively captures navigation nonlinearities and avoids the singularities commonly encountered with Euler-angle-based filters. Implemented in discrete space, the DeepUKF-VIN facilitates practical filter deployment. The filter's performance is evaluated using real-world data collected from an IMU and a stereo camera at low sampling rates. The results demonstrate filter stability and rapid attenuation of estimation errors, highlighting its high estimation accuracy. Furthermore, comparative testing against the standard Unscented Kalman Filter (UKF) in two scenarios consistently shows superior performance across all navigation components, thereby validating the efficacy and robustness of the proposed DeepUKF-VIN. © 2025 The Authors",Article,scopus,wos,INCLUDE,high,INC-1|INC-3|INC-4|INC-5|INC-6,"A VIO system (DeepUKF-VIN) that fuses IMU and visual data for navigation, addresses GPS-denied environments, and proposes algorithmic contributions to VIO filtering methods.",Platform type not explicitly stated but 6-DoF navigation and GPS-denied context strongly suggest aerial applications
P0339,True,LGVINS: LiDAR-GPS-Visual and Inertial System Based Multi-Sensor Fusion for Smooth and Reliable UAV State Estimation,10.1109/tiv.2024.3469551,2025,IEEE Transactions on Intelligent Vehicles,Irfan M.; Dalai S.; Trslic P.; Santos M.C.; Riordan J.; Dooly G.,"With the development of Autonomous Unmanned Aerial Vehicle's (UAV's), Precise state estimation is a fundamental aspect of autonomous flight and plays a critical role in enabling robots specially in GPS denied environment to operate safely, reliably, and effectively across a wide range of applications and operational scenarios. In this paper, we propose a tightly-coupled multi-sensor filtering framework for robust UAV/UGV state estimation, which integrates data from an Inertial Measurement Unit (IMU), a stereo camera, GPS, and 3D range measurements from two Light Detection and Ranging (LiDAR) sensors. The proposed LGVINS system significantly improves the accuracy and robustness of state estimation in both structured and unstructured outdoor environments, such as bridge inspections, open fields, urban city and areas near buildings. It also improves positioning accuracy in scenarios with or without GPS signals. The goal is to exploit the fact that these sensor modalities have mutually exclusive strengths, the visual, inertial and the Lidar sensor techniques are implemented to compensate for the robots state estimate errors in multiple outdoor challenging environment. It effectively reduces long-term trajectory drift and ensures smooth, continuous state estimation, regardless of GPS satellite availability. We demonstrate and evaluate the LGVINS approach on public dataset as well as our own dataset collected from the proposed hardware integration on UAV, deployed on computationally-constrained systems. This demonstrates that the proposed system achieves higher accuracy and robustness in state estimation across various environments compared to currently available methods. © 2016 IEEE.",Article,scopus,ieee,INCLUDE,high,INC-1|INC-2|INC-6,"A VIO system (LGVINS) that fuses visual, inertial, LiDAR and GPS data for state estimation (INC-1), explicitly targets UAVs as the primary platform (INC-2).",
P0677,False,A survey of sensors based autonomous unmanned aerial vehicle (UAV) localization techniques,10.1007/s40747-025-01961-2,2025,COMPLEX & INTELLIGENT SYSTEMS,,"Autonomous localization methods for Unmanned Aerial Vehicles (UAVs) have significant application potential in complex environments. This paper presents a comprehensive survey of UAV localization techniques, focusing on both pure vision-based and sensor-assisted approaches. For pure vision-based localization, the survey emphasizes key technologies for feature descriptor generation, advancements in similarity measurement criteria, and optimized computational strategies. The impact of these technologies on improving computational efficiency and localization accuracy. In the context of sensor-assisted multi-source UAV localization, the applications of filtering-based fusion, optimization-based fusion, and deep learning-based fusion methods are discussed. A detailed analysis demonstrates the advantages of multi-modal data fusion in improving robustness and accuracy. Despite significant progress in localization accuracy and adaptability to complex environments, challenges remain in adapting to low-texture environments, optimizing fusion strategies, and addressing computational resource limitations. Finally, the paper discusses future directions for the research and implementation of UAV autonomous localization methods.",Article,wos,,EXCLUDE,high,EXC-4,"This is explicitly a comprehensive survey paper as stated in the abstract, which falls under EXC-4 as a secondary study.",
