id,title,year,venue,doi,pdf_retrieved,in_final_corpus
P0002,"A Real-time Framework for UAV Indoor Self-Positioning and 3D Mapping Base on 2D Lidar, Stereo Camera and IMU",2023,Proceedings of the 2023 IEEE International Conference on Real-Time Computing and,10.1109/rcar58764.2023.10249971,Y,Y
P0005,Robust UAV Localization in GNSS-Denied Environments via Efficient Visual Scene Matching-Inertial Fusion,2025,2025 6th International Conference on Computers and Artificial Intelligence Techn,10.1109/cait68620.2025.11424858,Y,Y
P0007,PO-GVINS: A Tightly Coupled GNSS-Visual-Inertial Navigation Framework Using Pose-Only Representation,2025,IEEE Robotics and Automation Letters,10.1109/lra.2025.3606792,Y,N
P0010,An Autonomous Visual-Inertial-Based Navigation System for Quadrotor,2021,Lecture Notes in Electrical Engineering,10.1007/978-981-15-8458-9_43,Y,N
P0016,GeoVINS: Geographic-Visual-Inertial Navigation System for Large-Scale Drift-Free Aerial State Estimation,2025,IEEE Transactions on Robotics,10.1109/tro.2025.3613467,Y,Y
P0018,Tightly-coupled Fusion of Global Positional Measurements in Optimization-based Visual-Inertial Odometry,2020,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros45743.2020.9341697,Y,Y
P0019,Dense 3D-reconstruction from monocular image sequences for computationally constrained UAS,2021,"Proceedings - 2021 IEEE Winter Conference on Applications of Computer Vision, WA",10.1109/wacv48630.2021.00186,Y,N
P0020,Development of Unmanned Aerial Vehicle Navigation and Warehouse Inventory System Based on Reinforcement Learning,2024,Drones,10.3390/drones8060220,Y,N
P0021,Visual-inertial-actuator odometry for multirotor UAVs with rotor drag and external disturbance,2023,International Journal of Dynamics and Control,10.1007/s40435-023-01357-5,Y,Y
P0023,Stereo visual-inertial fusion for UAV state estimation,2020,IFAC-PapersOnLine,10.1016/j.ifacol.2020.12.2412,Y,Y
P0026,Information sparsification for visual-inertial odometry by manipulating Bayes tree,2021,Aerospace Science and Technology,10.1016/j.ast.2021.107065,Y,Y
P0027,Visual-inertial odometry with robust initialization and online scale estimation,2018,Sensors (Switzerland),10.3390/s18124287,Y,Y
P0030,Run Your Visual-Inertial Odometry on NVIDIA Jetson: Benchmark Tests on a Micro Aerial Vehicle,2021,IEEE Robotics and Automation Letters,10.1109/lra.2021.3075141,Y,N
P0031,Position Uncertainty Reduction in Visual-Inertial Navigation Systems Using Multi-ML Error Compensation,2024,Proceedings of the International Technical Meeting of the Satellite Division of ,10.33012/2024.19790,Y,Y
P0032,Multi-sensor fusion for unmanned aerial vehicles based on the combination of filtering and optimization; [结合滤波与优化的无人机多传感,2020,Scientia Sinica Informationis,10.1360/ssi-2019-0237,Y,N
P0034,A Visual-Inertial Localization Method Based on Motion Feature Constraints,2025,Lecture Notes in Electrical Engineering,10.1007/978-981-96-2204-7_7,N (EXC-8),N
P0035,Lidar-VIO Based Mapping of Elevator Shaft with UAV for Verification of Spatial Dimensions,2023,"6th International Conference on Electrical Engineering and Green Energy, CEEGE 2",10.1109/ceege58447.2023.10246629,N (EXC-8),N
P0036,GO-SLAM: GPS-Aided Visual-Inertial SLAM for Adaptive UAV Navigation in Outdoor-Indoor Environments,2025,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2025.3538081,Y,Y
P0037,Adaptive Covariance and Quaternion-Focused Hybrid Error-State EKF/UKF for Visual-Inertial Odometry,2025,International Journal of Computational Intelligence Systems,10.1007/s44196-025-00942-0,Y,Y
P0039,R-LVIO: Resilient LiDAR-Visual-Inertial Odometry for UAVs in GNSS-denied Environment,2024,Drones,10.3390/drones8090487,Y,Y
P0042,Efficient Visual-Inertial Navigation with Point-Plane Map,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48891.2023.10160393,Y,Y
P0044,Multi-Sensor Fusion Framework Based on GPS State Detection,2023,Proceedings of the 2nd Conference on Fully Actuated System Theory and Applicatio,10.1109/cfasta57821.2023.10243321,Y,Y
