id,class_id,qa1,qa2,qa3,qa4,qa5,qa_total,title
P0216,C3,1.0,1,1.0,0.5,1.0,4.5,Visual-Inertial Image-Odometry Network (VIIONet): A Gaussian process regression-
P0217,C1,1,1,1.0,0.0,1.0,4.0,SIMSF: A Scale Insensitive Multi-Sensor Fusion Framework for Unmanned Aerial Veh
P0228,C4,1,1,1.0,0.5,1.0,4.5,Accurate IMU Factor Using Switched Linear Systems for VIO
P0018,C1,1,1,1.0,0.0,1.0,4.0,Tightly-coupled Fusion of Global Positional Measurements in Optimization-based V
P0021,C6,1.0,1,0.5,1.0,1.0,4.5,Visual-inertial-actuator odometry for multirotor UAVs with rotor drag and extern
P0023,C4,1,1,1.0,0.5,1.0,4.5,Stereo visual-inertial fusion for UAV state estimation
P0027,C2,1,1,1.0,0.5,1.0,4.5,Visual-inertial odometry with robust initialization and online scale estimation
P0245,C6,1,1,0.5,0.0,0.5,3.0,Visual-Inertial Navigation Algorithm Development Using Photorealistic Camera Sim
P0037,C2,1.0,1,0.5,1.0,1.0,4.5,Adaptive Covariance and Quaternion-Focused Hybrid Error-State EKF/UKF for Visual
P0285,C2,1.0,1,1.0,0.5,1.0,4.5,Online spatial and temporal calibration for monocular direct visual-inertial odo
P0286,C1,1,1,1.0,0.5,1.0,4.5,VIUNet: Deep Visual-Inertial-UWB Fusion for Indoor UAV Localization
P0067,C2,1.0,1,0.0,0.5,0.5,3.0,Sensing and control of a quadrotor using a visual inertial fusion method
P0309,C1,1,1,0.5,0.5,1.0,4.0,Distributed Variable-Baseline Stereo SLAM from two UAVs
P0315,C7,1,1,0.0,0.0,0.5,2.5,Direct feature correspondence in vision-aided inertial navigation for unmanned a
P0099,C3,1,1,1.0,1.0,1.0,5.0,Learning Pose Estimation for UAV Autonomous Navigation and Landing Using Visual-
P0321,C6,1,1,1.0,0.5,1.0,4.5,Onboard real-time dense reconstruction of large-scale environments for UAV
P0103,C6,1,1,1.0,0.5,1.0,4.5,ST-VIO: Visual-Inertial Odometry Combined with Image Segmentation and Tracking
P0105,C2,1,1,0.5,0.0,0.5,3.0,An Online Calibration 2-DoF Attitude and Height State Estimator
